313.31,312.62
333.23,311.25
363.47,309.19
332.55,342.17
252.85,285.83
255.59,264.53
263.15,244.6
274.15,221.24
301.63,274.83
300.94,259.72
307.13,243.91
311.25,227.42
314.68,203.38
315.37,188.95
304.38,172.46
303.0,155.28
297.51,134.67
290.64,108.56
292.01,132.61
289.26,150.47
287.89,169.02
289.26,186.89
291.32,203.38
282.39,215.06
252.16,305.75
250.1,322.24
255.59,335.3
258.34,345.6
261.78,359.34
270.71,367.59
287.2,368.96
308.5,366.21
327.05,359.34
343.54,357.28
361.4,356.6
374.46,358.66
386.83,340.11
388.89,320.87
386.14,303.0
385.45,283.76
376.52,266.59
361.4,253.53
350.41,261.09
349.72,272.77
213.43,140.0
217.84,181.12
193.36,159.58
241.82,170.84
200.7,144.41
232.03,148.81
201.68,174.27
230.07,176.72
380.36,125.81
383.78,161.05
400.92,138.53
362.73,157.63
391.13,125.32
372.52,160.07
369.1,137.07
395.04,154.69
164.48,35.245
159.58,43.567
153.22,61.679
142.94,79.792
142.94,104.27
141.47,121.89
142.94,140.49
136.58,162.03
134.13,175.74
125.32,200.21
105.25,179.16
81.26,163.5
65.106,140.49
50.91,113.08
44.546,101.82
54.337,84.687
82.239,62.659
102.8,49.931
426.86,121.4
436.65,150.77
448.4,170.35
461.13,183.08
468.96,154.69
481.2,125.81
490.5,99.862
415.6,90.561
402.87,63.638
390.15,42.588
147.35,211.47
119.93,220.28
89.093,235.46
64.617,246.23
42.588,256.02
